RA                Dec             plx        eplx       pmra       epmra      pmdec      epmdec     gmag      egmag       bpmag     ebpmag     rpmag      erpmag #
139.099075317  -36.609806061     0.2554     0.0248    -4.4950     0.0340     4.6040     0.0390    14.7178     0.0004    14.8985     0.0019    14.4009     0.0016
139.077423096  -36.576171875     0.2824     0.0883    -4.2250     0.1130     4.3440     0.1480    17.3876     0.0009    17.7820     0.0108    16.8149     0.0098
139.080856323  -36.674861908     0.2003     0.0911    -4.4030     0.1170     4.6500     0.1360    17.4102     0.0009    17.8012     0.0101    16.8408     0.0061
139.079864502  -36.676414490     0.3121     0.0179    -4.4530     0.0230     4.5250     0.0270    13.6410     0.0003    14.1934     0.0012    12.9511     0.0009
138.978347778  -36.702751160     0.3136     0.1653    -4.2660     0.2200     4.6390     0.2410    18.2570     0.0015    18.7593     0.0216    17.6166     0.0130
138.998733521  -36.547565460     0.1927     0.0765    -4.4890     0.1100     4.4920     0.1230    17.1242     0.0009    17.4861     0.0089    16.5939     0.0069
139.086685181  -36.674304962     0.3145     0.0389    -4.5070     0.0500     4.4940     0.0630    15.8071     0.0010    16.0549     0.0066    15.3901     0.0037
139.103302002  -36.649654388     0.2865     0.0258    -4.4160     0.0340     4.6150     0.0430    14.9196     0.0003    15.1395     0.0015    14.5482     0.0020
138.998306274  -36.708118439     0.2930     0.0443    -4.5310     0.0580     4.4210     0.0660    16.1008     0.0005    16.4182     0.0040    15.6230     0.0029
139.053955078  -36.555271149     0.3158     0.0364    -4.3370     0.0470     4.5080     0.0600    15.6492     0.0005    15.9021     0.0030    15.2406     0.0025
138.995635986  -36.708057404     0.2733     0.0389    -4.5250     0.0520     4.4170     0.0570    15.7891     0.0008    16.0574     0.0032    15.3677     0.0035
138.918090820  -36.583755493     0.3254     0.0855    -4.4130     0.1120     4.5870     0.1370    17.3134     0.0009    17.7070     0.0103    16.7599     0.0071
139.035812378  -36.545974731     0.3172     0.0343    -4.3870     0.0450     4.5690     0.0540    15.5133     0.0004    15.7551     0.0020    15.1169     0.0021
139.102706909  -36.661018372     0.2936     0.0535    -4.3500     0.0710     4.5200     0.0860    16.5812     0.0006    16.9128     0.0066    16.0865     0.0030
139.061965942  -36.554561615     0.2737     0.0421    -4.5280     0.0560     4.3210     0.0670    15.9190     0.0005    16.1921     0.0022    15.4800     0.0043
139.027877808  -36.710784912     0.3248     0.0613    -4.3940     0.0790     4.5000     0.0940    16.4415     0.0005    16.7638     0.0053    15.9104     0.0057
139.108779907  -36.597858429     0.3044     0.0449    -4.4130     0.0580     4.5940     0.0680    16.1103     0.0005    16.4091     0.0030    15.6530     0.0036
139.051589966  -36.708221436     0.3046     0.0304    -4.5100     0.0410     4.6670     0.0460    15.0645     0.0004    15.2762     0.0023    14.7081     0.0018
139.108993530  -36.661281586     0.3457     0.0540    -4.4410     0.0700     4.4490     0.0860    16.5517     0.0006    16.9439     0.0057    15.9966     0.0027
139.115814209  -36.606670380     0.3083     0.0178    -4.4530     0.0230     4.5570     0.0300    13.4970     0.0002    14.0568     0.0015    12.8029     0.0009
139.111846924  -36.658920288     0.2899     0.0242    -4.4640     0.0320     4.5240     0.0400    14.7850     0.0003    14.9811     0.0014    14.4533     0.0019
138.972549438  -36.715938568     0.2288     0.0947    -4.6740     0.1220     4.6250     0.1390    17.3637     0.0010    17.7847     0.0093    16.7756     0.0114
139.122009277  -36.632923126     0.2934     0.0773    -4.3050     0.0970     4.5270     0.1190    17.2006     0.0008    17.5804     0.0083    16.6548     0.0072
139.107574463  -36.581714630     0.1919     0.0594    -4.3890     0.0800     4.4760     0.0940    16.7701     0.0007    17.1287     0.0059    16.2544     0.0050
139.068847656  -36.548202515     0.3122     0.0351    -4.4600     0.0480     4.5080     0.0600    15.3910     0.0005    15.6026     0.0016    15.0395     0.0021
138.956756592  -36.712501526     0.2944     0.0737    -4.3780     0.0930     4.4660     0.1140    16.9786     0.0008    17.3984     0.0084    16.3870     0.0065
138.965087891  -36.538368225     0.2685     0.0271    -4.5120     0.0370     4.6000     0.0430    15.0474     0.0059    15.2517     0.0180    14.6804     0.0195
138.984664917  -36.533016205     0.2231     0.0863    -4.5470     0.1160     4.5810     0.1340    17.3817     0.0009    17.7611     0.0125    16.8355     0.0075
139.118988037  -36.661827087     0.2929     0.0594    -4.4720     0.0800     4.3400     0.0920    16.7045     0.0006    17.0557     0.0042    16.1904     0.0045
138.913314819  -36.564571381     0.3393     0.1572    -4.5350     0.2110     4.5100     0.2320    18.4201     0.0019    18.9719     0.0359    17.7421     0.0147
138.973495483  -36.721115112     0.2756     0.0243    -4.4530     0.0310     4.5070     0.0330    14.2072     0.0002    14.4690     0.0014    13.7842     0.0011
139.120574951  -36.590625763     0.2378     0.1087    -4.6030     0.1360     4.3890     0.1850    17.8196     0.0012    18.2536     0.0156    17.2197     0.0089
138.988159180  -36.528789520     0.2725     0.0330    -4.3450     0.0480     4.6140     0.0540    15.4298     0.0005    15.6576     0.0027    15.0434     0.0045
138.977554321  -36.530036926     0.2843     0.1010    -4.2770     0.1390     4.4600     0.1520    17.5848     0.0011    18.0449     0.0135    16.9684     0.0090
